keys,en,pt,es
MP_TIP_GREEN,A number goes green the moment it has all its mushrooms.,Um número fica verde assim que tem todos os seus cogumelos.,Un número se pone verde en cuanto tiene todos sus hongos.
MP_RULES,A number counts the mushrooms in the eight cells touching it. Plant a mushroom where you have proved one is; lay a pebble where you have proved one is not. A number turns green when it has exactly its mushrooms and rose when it has too many. Nothing is ever hidden from you and the patch can never be lost.,"Um número conta os cogumelos nas oito casas ao redor dele. Plante um cogumelo onde você provou que há um; ponha uma pedrinha onde provou que não há. Um número fica verde quando tem exatamente seus cogumelos e rosa quando tem demais. Nada fica escondido de você, e a horta nunca está perdida.","Un número cuenta los hongos en las ocho casillas a su alrededor. Planta un hongo donde demostraste que hay uno; pon una piedrita donde demostraste que no hay. Un número se pone verde cuando tiene justo sus hongos y rosa cuando tiene de más. Nada se te oculta, y la huerta nunca se pierde."
MP_TALLY_ONE,one mushroom still hidden,um cogumelo ainda escondido,un hongo sigue escondido
MP_TALLY_N,%s mushrooms still hidden,%s cogumelos ainda escondidos,%s hongos siguen escondidos
MP_TALLY_ALL,every mushroom is planted,todos os cogumelos plantados,todos los hongos plantados
MP_TALLY_OVER,%s too many planted,plantou %s a mais,plantaste %s de más
MP_TURNED,That cell is already turned over. Its number is the clue.,Essa casa já está aberta. O número dela é a pista.,Esa casilla ya está abierta. Su número es la pista.
MP_PINNED,That mushroom was given. It stays.,Esse cogumelo veio de presente. Ele fica.,Ese hongo venía dado. Se queda.
MP_FOUND_ONE,"one mushroom found, %s to go.","um cogumelo achado, mais %s por achar.","un hongo encontrado, %s por encontrar."
MP_FOUND_N,"%s mushrooms found, %s to go.","%s cogumelos achados, mais %s por achar.","%s hongos encontrados, %s por encontrar."
MP_MISPLACED,Every mushroom is spoken for. One of them is in the wrong place.,Todos os cogumelos foram plantados. Um deles está no lugar errado.,Todos los hongos están plantados. Uno está en el lugar equivocado.
MP_HINT,"One mushroom found for you, and pinned. It is a fact now.","Um cogumelo achado para você, e fixado. Agora é certeza.","Un hongo encontrado para ti, y fijado. Ya es un hecho."
MP_WRONG_ONE,One mark is wrong.,Uma marca está errada.,Una marca está mal.
MP_WRONG_TWO,Two marks are wrong.,Duas marcas estão erradas.,Dos marcas están mal.
MP_WRONG_N,%s marks are wrong.,%s marcas estão erradas.,%s marcas están mal.
MP_PLANT_FIRST,Plant a mushroom first.,Plante um cogumelo primeiro.,Planta un hongo primero.
MP_ALL_RIGHT,Every mark you have made is right.,Todas as suas marcas estão certas.,Todas tus marcas están bien.
MP_RESET,The patch is cleared. What a hint gave stays given.,Horta limpa. O que uma dica deu continua dado.,Huerta limpia. Lo que dio una pista se queda.
MP_WIN,Every patch has its count.,Cada canteiro tem sua conta.,Cada parcela tiene su cuenta.
MP_NUM_0,no,nenhum,ninguno
MP_NUM_1,one,um,uno
MP_NUM_2,two,dois,dos
MP_NUM_3,three,três,tres
MP_NUM_4,four,quatro,cuatro
MP_NUM_5,five,cinco,cinco
MP_NUM_6,six,seis,seis
MP_NUM_7,seven,sete,siete
MP_NUM_8,eight,oito,ocho
MP_NUM_9,nine,nove,nueve
MP_NUM_10,ten,dez,diez
MP_NUM_11,eleven,onze,once
MP_NUM_12,twelve,doze,doce
MP_NUM_13,thirteen,treze,trece
MP_NUM_14,fourteen,catorze,catorce
SD_TIP_UNITS,"Every row, every column and every region holds 1 to %d once.","Cada linha, cada coluna e cada região tem de 1 a %d uma vez só.","Cada fila, cada columna y cada región tiene del 1 al %d una sola vez."
SD_TIP_TAP,"Tap a cell, then a number. Tap that number again to take it out.","Toque numa casa, depois num número. Toque de novo para tirar.",Toca una casilla y luego un número. Tócalo otra vez para quitarlo.
SD_TIP_CROSS,The cross takes out whatever is in the selected cell.,O X tira o que estiver na casa escolhida.,La X quita lo que haya en la casilla elegida.
SD_TIP_PALE,A number already placed %d times goes pale in the pad.,Um número já colocado %d vezes fica apagado no teclado.,Un número ya puesto %d veces se ve pálido en el teclado.
SD_RULES,"Fill the grid so every row, every column and every %d-by-%d region holds the numbers 1 to %d, each exactly once.\n\nTap a cell, then tap a number. Tapping the number a cell already holds takes it out again.\n\nThe cross takes out whatever is in the selected cell.\n\nCheck marks anything that disagrees with the answer, and costs nothing but a count.","Preencha a grade para que cada linha, cada coluna e cada região de %d por %d tenha os números de 1 a %d, cada um exatamente uma vez.\n\nToque numa casa, depois num número. Tocar o número que a casa já tem tira ele de novo.\n\nO X tira o que estiver na casa escolhida.\n\nConferir marca tudo o que não bate com a resposta, e só custa uma contagem.","Llena la cuadrícula para que cada fila, cada columna y cada región de %d por %d tenga los números del 1 al %d, cada uno exactamente una vez.\n\nToca una casilla y luego un número. Tocar el número que ya tiene la casilla lo quita otra vez.\n\nLa X quita lo que haya en la casilla elegida.\n\nComprobar marca todo lo que no coincide con la respuesta, y solo cuesta una cuenta."
SD_TAP_CELL,Tap a cell first,Toque numa casa primeiro,Toca una casilla primero
SD_GIVEN,That one came with the puzzle,Esse já veio no desafio,Ese ya venía en el reto
SD_EMPTY,That cell is already empty,Essa casa já está vazia,Esa casilla ya está vacía
SD_PENCIL,Pencil marks go in an empty cell,Anotações só em casa vazia,Las notas van en una casilla vacía
SD_HINT,There it is. That one had the fewest numbers left to be.,Aí está. Essa era a casa com menos opções.,Ahí está. Esa era la casilla con menos opciones.
SD_CHECK_OK,Every number you have put down belongs there.,Todos os números que você colocou estão no lugar certo.,Todos los números que pusiste van ahí.
SD_CHECK_ONE,One number to look at again.,Um número para olhar de novo.,Un número para revisar.
SD_CHECK_N,%d numbers to look at again.,%d números para olhar de novo.,%d números para revisar.
SD_RESET,The board is back to its givens. The hints you spent are not refunded.,O tabuleiro voltou ao início. As dicas usadas não voltam.,El tablero volvió al inicio. Las pistas usadas no se devuelven.
SD_WIN,Every number in its place.,Cada número no seu lugar.,Cada número en su lugar.
BR_TIP_REST,Press an islet and drag at the one facing it.,Toque numa ilhota e arraste até a que fica de frente.,Toca un islote y arrastra hacia el que tiene enfrente.
BR_TIP_NONE,Nothing faces it across the water.,"Nada à frente, do outro lado da água.","Nada enfrente, al otro lado del agua."
BR_TIP_CROSS,Another run crosses that lane.,Outra ponte cruza esse caminho.,Otro puente cruza ese camino.
BR_RULES,"Join the islets with plank bridges.\nEach islet takes exactly its number of planks.\nBridges run across or down only, never over an islet.\nAt most three planks join the same two islets, and no two runs may cross.\nWhen you are done, every islet must be joined into one single network.","Ligue as ilhotas com pontes de tábuas.\nCada ilhota recebe exatamente o seu número de tábuas.\nAs pontes só correm na horizontal ou na vertical, nunca por cima de uma ilhota.\nNo máximo três tábuas ligam as mesmas duas ilhotas, e duas pontes nunca se cruzam.\nNo fim, todas as ilhotas precisam estar ligadas numa única rede.","Une los islotes con puentes de tablas.\nCada islote lleva exactamente su número de tablas.\nLos puentes van solo en horizontal o en vertical, nunca por encima de un islote.\nComo mucho tres tablas unen los mismos dos islotes, y dos puentes nunca se cruzan.\nAl terminar, todos los islotes deben quedar unidos en una sola red."
BR_HINT,A plank the answer wants is in.,Entrou uma tábua que a resposta pede.,Ya está una tabla que la respuesta pide.
BR_CHECK_ONE,1 run is in the way.,1 ponte está atrapalhando.,1 puente está estorbando.
BR_CHECK_N,%d runs are in the way.,%d pontes estão atrapalhando.,%d puentes están estorbando.
BR_CHECK_OK,Nothing you have laid is wrong.,Nada do que você colocou está errado.,Nada de lo que pusiste está mal.
BR_WIN,"One network, every islet on it.","Uma rede só, com todas as ilhotas.","Una sola red, con todos los islotes."
BR_SHARE,🌉 %dx%d · %d islets · %d planks,🌉 %dx%d · %d ilhotas · %d tábuas,🌉 %dx%d · %d islotes · %d tablas
QL_TIP_DRAG,Drag a patch onto the quilt.,Arraste um retalho para a colcha.,Arrastra un retazo a la colcha.
QL_TIP_EDGE,A patch may not hang off the edge.,Um retalho não pode sair pela borda.,Un retazo no puede salirse del borde.
QL_TIP_SHARE,Two patches never share a cell.,Dois retalhos nunca dividem uma casa.,Dos retazos nunca comparten una casilla.
QL_TIP_ALL,Every patch goes on. That is the whole of it.,Todos os retalhos entram. É só isso.,Todos los retazos entran. Eso es todo.
QL_HINTED_FAST,That one was sewn on for you.,Esse foi costurado para você.,Ese lo cosimos por ti.
QL_REFUSE_OVER,That cell already has a patch on it.,Essa casa já tem um retalho.,Esa casilla ya tiene un retazo.
QL_REFUSE_OFF,Every square of a patch has to be on the quilt.,Cada quadradinho do retalho tem que ficar na colcha.,Cada cuadrito del retazo tiene que quedar en la colcha.
QL_WIN,Not a gap left.,Nenhum buraco sobrando.,No queda ni un hueco.
QL_ONE_LEFT,One patch left.,Falta um retalho.,Queda un retazo.
QL_N_LEFT,%d patches left.,Faltam %d retalhos.,Quedan %d retazos.
QL_TAKEN_BACK,Taken back.,Desfeito.,Deshecho.
QL_HINT,That one goes here.,Esse vai aqui.,Ese va aquí.
QL_CLEAN,A clean quilt.,Colcha limpa.,Colcha limpia.
QL_RULES,"Every patch on the rack goes onto the quilt. Drag one up and it snaps to the cells: it must lie wholly on the backing, with no corner hanging off, and it may not cover a patch already sewn on. Patches never turn -- each one goes on the way it is drawn. Drag a patch that is already on to take it off again. The patches hold exactly as many cells as the quilt does, so when the last one is sewn on the quilt is whole and the board is done; there is nothing to check along the way, only a fit to find.","Todos os retalhos da prateleira vão para a colcha. Arraste um para cima e ele se encaixa nas casas: precisa ficar inteiro sobre o forro, sem nenhum canto para fora, e não pode cobrir um retalho já costurado. Os retalhos nunca giram -- cada um entra do jeito que está desenhado. Arraste um retalho que já está na colcha para tirá-lo de novo. Os retalhos somam exatamente as casas da colcha, então, quando o último é costurado, a colcha fica completa e o tabuleiro termina; não há nada para conferir no caminho, só um encaixe para achar.","Todos los retazos del estante van a la colcha. Arrastra uno hacia arriba y se encaja en las casillas: debe quedar entero sobre el forro, sin ninguna esquina afuera, y no puede tapar un retazo ya cosido. Los retazos nunca giran -- cada uno entra tal como está dibujado. Arrastra un retazo que ya está en la colcha para quitarlo otra vez. Los retazos suman exactamente las casillas de la colcha, así que cuando coses el último la colcha queda completa y el tablero termina; no hay nada que comprobar por el camino, solo un encaje que encontrar."
PP_TIP_TAP,Tap a plane and it flies out the way it points.,Toque num avião e ele sai voando para onde aponta.,Toca un avión y sale volando hacia donde apunta.
PP_TIP_LANE,Its lane has to be clear all the way off the board.,O caminho dele tem que estar livre até sair do tabuleiro.,Su camino tiene que estar libre hasta salir del tablero.
PP_TIP_SAFE,"Nothing here can go wrong. Any plane that can go, can go.","Aqui nada dá errado. Todo avião que pode sair, pode sair.","Aquí nada sale mal. Todo avión que puede salir, puede salir."
PP_TIP_FRONT,Send the one in front first.,Mande primeiro o da frente.,Manda primero el de adelante.
PP_SAID_1,Off it goes. That lane was clear the whole way.,Lá vai ele. O caminho estava livre até o fim.,Allá va. El camino estaba libre hasta el final.
PP_SAID_2,"Any plane with a clear lane can go, in whatever order you like.","Qualquer avião com o caminho livre pode sair, na ordem que você quiser.","Cualquier avión con el camino libre puede salir, en el orden que quieras."
PP_SAID_3,"Send the one in front, and the one behind it is free.","Mande o da frente, e o de trás fica livre.","Manda el de adelante, y el de atrás queda libre."
PP_REFUSE,That lane is not clear. Send the one in its way first.,Esse caminho não está livre. Mande primeiro o que está na frente.,Ese camino no está libre. Manda primero el que estorba.
PP_UNDO,Called back. It is on the field again.,Chamado de volta. Está no campo de novo.,De vuelta. Está otra vez en el campo.
PP_HINT,This one has a clear lane.,Este tem o caminho livre.,Este tiene el camino libre.
PP_RESET,All of them back on the field.,Todos de volta ao campo.,Todos de vuelta en el campo.
PP_WIN,Every plane found its lane.,Cada avião achou seu caminho.,Cada avión encontró su camino.
PP_RULES,"Every plane points somewhere, and its lane is every cell straight ahead of it, out to the edge of the board. Tap a plane and it launches along its own trail and away, but only if that lane is completely empty. A tap on a plane whose lane is blocked costs you nothing at all -- there is nothing to lose here and no order of launches that can strand you, so clear the sky in whatever order you like.","Cada avião aponta para algum lado, e o caminho dele são todas as casas bem à frente, até a borda do tabuleiro. Toque num avião e ele decola pela própria trilha e vai embora, mas só se esse caminho estiver totalmente vazio. Tocar num avião com o caminho bloqueado não custa nada -- aqui não há o que perder nem ordem de decolagem que deixe você sem saída, então limpe o céu na ordem que quiser.","Cada avión apunta hacia algún lado, y su camino son todas las casillas justo delante, hasta el borde del tablero. Toca un avión y despega por su propia estela y se va, pero solo si ese camino está completamente vacío. Tocar un avión con el camino bloqueado no te cuesta nada -- aquí no hay nada que perder ni orden de despegue que te deje sin salida, así que despeja el cielo en el orden que quieras."
PW_TIP_TAP,"Tap a pinwheel. Its piece turns a quarter, round the pin.",Toque num cata-vento. A peça gira um quarto em volta do pino.,Toca un molinete. Su pieza gira un cuarto alrededor del alfiler.
PW_TIP_PIN,A pin never moves. Only the piece round it turns.,O pino nunca sai do lugar. Só a peça em volta gira.,El alfiler nunca se mueve. Solo gira la pieza a su alrededor.
PW_TIP_DARK,A darker cell is two pieces on one square. Turn one away.,Uma casa escura são duas peças no mesmo quadrado. Gire uma para longe.,Una casilla oscura son dos piezas en el mismo cuadro. Gira una.
PW_TIP_DONE,"No bare ground, no dark cells, and the frame is done.","Sem chão vazio e sem casas escuras, o quadro está pronto.","Sin suelo vacío ni casillas oscuras, el marco está listo."
PW_DONE,"Not a gap, not a fold.","Nem um buraco, nem uma dobra.","Ni un hueco, ni un pliegue."
PW_ONE_BARE,One square bare.,Um quadrado vazio.,Un cuadro vacío.
PW_N_BARE,%d squares bare.,%d quadrados vazios.,%d cuadros vacíos.
PW_ONE_DOUBLED,One square doubled.,Um quadrado dobrado.,Un cuadro doble.
PW_N_DOUBLED,%d squares doubled.,%d quadrados dobrados.,%d cuadros dobles.
PW_BARE_DOUBLED,"%d bare, %d doubled.","%d vazios, %d dobrados.","%d vacíos, %d dobles."
PW_PINNED,That one is pinned fast. It has nowhere else to go.,Essa está bem presa. Não tem outro jeito de ficar.,Esa está bien sujeta. No tiene otra forma de quedar.
PW_BARE,Bare ground. Something has to cover it.,Chão vazio. Alguma peça tem que cobrir.,Suelo vacío. Algo tiene que cubrirlo.
PW_TURN,Turn a piece by its pinwheel.,Gire uma peça pelo cata-vento.,Gira una pieza con su molinete.
PW_TURNED_BACK,Turned back.,Desfeito.,Deshecho.
PW_ALL_HOME,Every piece is already home.,Todas as peças já estão no lugar.,Todas las piezas ya están en su lugar.
PW_HINT,That one was facing the wrong way.,Essa estava virada para o lado errado.,Esa miraba hacia el lado equivocado.
PW_RESET,Back to the start.,De volta ao começo.,De vuelta al inicio.
PW_WIN,Every piece turned home.,Cada peça girou até o lugar.,Cada pieza giró a su lugar.
PW_RULES,"Every piece is pinned through one of its own squares by a pinwheel, and that pin never moves. Tap a pinwheel and its piece turns a quarter clockwise about the pin. A quarter that would carry the piece off the frame is skipped rather than refused, so a tap always does something and every way round is reachable. Pieces may lie across each other while you work: a square two pieces are on goes dark and hatched, and a square nobody is on stays bare ground. A piece with only one way to lie is pinned fast; tapping it says so and nothing else. Turn them until there is no dark and no bare ground, and the frame is covered exactly once.","Cada peça está presa por um cata-vento num dos seus próprios quadrados, e esse pino nunca sai do lugar. Toque num cata-vento e a peça gira um quarto no sentido horário em volta do pino. Um quarto que levaria a peça para fora do quadro é pulado, não recusado, então um toque sempre faz alguma coisa e dá para chegar a qualquer posição. As peças podem ficar umas sobre as outras enquanto você joga: um quadrado com duas peças fica escuro e riscado, e um quadrado sem nenhuma fica como chão vazio. Uma peça com um só jeito de ficar está bem presa; tocar nela só avisa isso. Gire as peças até não sobrar nada escuro nem chão vazio, e o quadro fica coberto exatamente uma vez.","Cada pieza está sujeta por un molinete en uno de sus propios cuadros, y ese alfiler nunca se mueve. Toca un molinete y su pieza gira un cuarto en el sentido de las agujas del reloj alrededor del alfiler. Un cuarto que sacaría la pieza del marco se salta en vez de rechazarse, así que un toque siempre hace algo y se puede llegar a cualquier posición. Las piezas pueden quedar unas sobre otras mientras juegas: un cuadro con dos piezas se oscurece y se raya, y un cuadro sin ninguna queda como suelo vacío. Una pieza con una sola forma de quedar está bien sujeta; tocarla solo te lo dice. Gira las piezas hasta que no quede nada oscuro ni suelo vacío, y el marco queda cubierto exactamente una vez."
BN_BLURB,Suns and moons. Never three alike in a line.,Sóis e luas. Nunca três iguais em linha.,Soles y lunas. Nunca tres iguales en línea.
BN_SHORT,"Suns and moons,\nnever three alike.","Sóis e luas,\nnunca três iguais.","Soles y lunas,\nnunca tres iguales."
BN_MOTTO,Balance brings harmony,Equilíbrio é harmonia,Equilibrio es armonía
CB_BLURB,Crack the hidden row from the feedback.,Descubra a fileira oculta pelas pistas.,Descubre la fila oculta con las pistas.
CB_SHORT,Crack the hidden\nrow of friends.,Descubra a fileira\nde amigos oculta.,Descubre la fila\nde amigos oculta.
CB_MOTTO,Crack the hidden code,Quebre o código,Descifra el código
CB_LVL_0,"4 friends, all different","4 amigos, todos diferentes","4 amigos, todos distintos"
CB_LVL_1,"4 friends, may repeat","4 amigos, podem repetir","4 amigos, pueden repetirse"
CB_LVL_2,"5 friends, may repeat","5 amigos, podem repetir","5 amigos, pueden repetirse"
CB_LVL_3,"5 friends of 7, 7 tries","5 amigos de 7, 7 tentativas","5 amigos de 7, 7 intentos"
BAL_BLURB,Work out what each fruit weighs.,Descubra quanto pesa cada fruta.,Averigua cuánto pesa cada fruta.
BAL_SHORT,What does each\nfruit weigh?,Quanto pesa\ncada fruta?,¿Cuánto pesa\ncada fruta?
BAL_MOTTO,Find the weight of things,O peso de cada coisa,El peso de cada cosa
BAL_LVL_0,3 fruits,3 frutas,3 frutas
BAL_LVL_1,4 fruits,4 frutas,4 frutas
BAL_LVL_2,5 fruits,5 frutas,5 frutas
BAL_LVL_3,"5 fruits, weights to 12","5 frutas, pesos até 12","5 frutas, pesos hasta 12"
UT_BLURB,Drag the lanterns until no cords cross.,Arraste as lanternas até nenhum fio se cruzar.,Arrastra los faroles hasta que ningún cordón se cruce.
UT_SHORT,Pull the lanterns\nuntil none cross.,Puxe as lanternas\naté nada cruzar.,Mueve los faroles\nsin que se crucen.
UT_MOTTO,Every knot comes undone,Todo nó se desfaz,Todo nudo se deshace
UT_LVL_0,7 lanterns,7 lanternas,7 faroles
UT_LVL_1,10 lanterns,10 lanternas,10 faroles
UT_LVL_2,14 lanterns,14 lanternas,14 faroles
UT_LVL_3,20 lanterns,20 lanternas,20 faroles
SK_BLURB,Cut the field into numbered plots.,Divida o campo em canteiros numerados.,Divide el campo en parcelas numeradas.
SK_SHORT,Cut the field into\nnumbered plots.,Divida o campo em\ncanteiros numerados.,Divide el campo en\nparcelas numeradas.
SK_MOTTO,Every plot has its number,"Cada canteiro, seu número","Cada parcela, su número"
SK_LVL_3,"7 × 9, big plots","7 × 9, canteiros grandes","7 × 9, parcelas grandes"
TN_BLURB,One tent beside every tree.,Uma barraca ao lado de cada árvore.,Una carpa junto a cada árbol.
TN_SHORT,One tent beside\nevery tree.,Uma barraca\npara cada árvore.,Una carpa junto\na cada árbol.
TN_MOTTO,A camp for every tree,Uma barraca por árvore,Una carpa por árbol
LU_BLURB,"Light every cell, and no bulb may see another.","Ilumine cada casa, e nenhuma lanterna pode ver outra.","Ilumina cada casilla, y ningún farol puede ver a otro."
LU_SHORT,"Light every cell,\nblind every bulb.","Luz em cada pedra,\nlanternas às cegas.","Luz en cada piedra,\nfaroles a ciegas."
LU_MOTTO,Let there be light,Faça-se a luz,Hágase la luz
OL_BLURB,Trace every line in a single stroke.,Percorra cada linha num só traço.,Recorre cada línea en un solo trazo.
OL_SHORT,"Every line, walked\nin one stroke.","Cada linha, num\nsó traço.","Cada línea,\nen un solo trazo."
OL_MOTTO,"One stroke, no lifting","Um traço só, sem parar","Un trazo, sin levantar"
OL_LVL_0,3 × 3 posts,3 × 3 postes,3 × 3 postes
OL_LVL_1,4 × 3 posts,4 × 3 postes,4 × 3 postes
OL_LVL_2,4 × 4 posts,4 × 4 postes,4 × 4 postes
OL_LVL_3,5 × 4 posts,5 × 4 postes,5 × 4 postes
NG_BLURB,Fill the runs and reveal the picture.,Preencha as sequências e revele a imagem.,Rellena las tiras y revela el dibujo.
NG_SHORT,The numbers make\na picture.,Os números formam\numa imagem.,Los números forman\nun dibujo.
NG_MOTTO,Numbers make a picture,Números formam imagens,Los números dibujan
QN_BLURB,"Seat one queen in every row, column and colour.","Ponha uma rainha em cada linha, coluna e cor.","Sienta una reina en cada fila, columna y color."
QN_SHORT,"One queen per row,\ncolumn and colour.","Uma rainha por\nlinha, coluna e cor.","Una reina por fila,\ncolumna y color."
QN_MOTTO,Every queen has her seat,Cada rainha em seu trono,Cada reina en su trono
HW_BLURB,"Five letters, six tries. A new word every day.","Cinco letras, seis tentativas. Uma palavra nova por dia.","Cinco letras, seis intentos. Una palabra nueva cada día."
WT_BLURB,Trace every hidden word. The lengths are the only clue.,Trace cada palavra escondida. Os tamanhos são a única pista.,Traza cada palabra oculta. Las longitudes son la única pista.
MP_BLURB,Every number counts the mushrooms around it. Find them all.,Cada número conta os cogumelos ao redor. Ache todos.,Cada número cuenta los hongos a su alrededor. Encuéntralos todos.
MP_SHORT,The numbers count\nwhat is hidden.,Os números contam\no que se esconde.,Los números cuentan\nlo que se esconde.
MP_MOTTO,Every patch has its count,"Cada canteiro, sua conta","Cada parcela, su cuenta"
MP_LVL_0,"6 mushrooms, 6 × 6","6 cogumelos, 6 × 6","6 hongos, 6 × 6"
MP_LVL_1,"9 mushrooms, 7 × 7","9 cogumelos, 7 × 7","9 hongos, 7 × 7"
MP_LVL_2,"12 mushrooms, 8 × 8","12 cogumelos, 8 × 8","12 hongos, 8 × 8"
MP_LVL_3,"16 mushrooms, 9 × 9","16 cogumelos, 9 × 9","16 hongos, 9 × 9"
SD_BLURB,"Every number once in every row, column and region.","Cada número uma vez em cada linha, coluna e região.","Cada número una vez en cada fila, columna y región."
SD_SHORT,"Every number once,\nevery way you look.","Um de cada número,\nem todo sentido.","Un número de cada,\nen todo sentido."
SD_MOTTO,Every number has its place,Cada número em seu lugar,Cada número en su lugar
SD_LVL_3,"9 × 9, 22 clues","9 × 9, 22 pistas","9 × 9, 22 pistas"
BR_BLURB,"Plank every islet to its number, and join them all.",Dê a cada ilhota suas pontes e ligue todas.,Dale a cada islote sus puentes y únelos todos.
BR_SHORT,Plank every islet\nto its number.,Cada ilhota com\nas pontes certas.,Cada islote con\nsus puentes justos.
BR_MOTTO,Join every islet,Una todas as ilhotas,Une todos los islotes
BR_LVL_0,"11 islets, 7 × 7","11 ilhotas, 7 × 7","11 islotes, 7 × 7"
BR_LVL_1,"16 islets, 9 × 9","16 ilhotas, 9 × 9","16 islotes, 9 × 9"
BR_LVL_2,"24 islets, 11 × 11","24 ilhotas, 11 × 11","24 islotes, 11 × 11"
BR_LVL_3,"30 islets, 11 × 11","30 ilhotas, 11 × 11","30 islotes, 11 × 11"
QL_BLURB,"Fit every patch onto the quilt, with not a gap left.","Encaixe cada retalho na colcha, sem deixar vão.","Encaja cada retazo en la colcha, sin dejar huecos."
QL_SHORT,Fit every patch.\nLeave no gap.,"Cada retalho no\nlugar, sem vãos.",Encaja cada retazo.\nSin dejar huecos.
QL_MOTTO,Make the blanket whole,Complete a colcha,Completa la colcha
QL_LVL_0,"5 patches, 5 × 5","5 retalhos, 5 × 5","5 retazos, 5 × 5"
QL_LVL_1,"6 patches, 6 × 6","6 retalhos, 6 × 6","6 retazos, 6 × 6"
QL_LVL_2,"8 patches, 7 × 7","8 retalhos, 7 × 7","8 retazos, 7 × 7"
QL_LVL_3,"10 patches, 7 × 7","10 retalhos, 7 × 7","10 retazos, 7 × 7"
FL_BLURB,Turn the wire until every lantern is lit.,Gire o fio até acender todas as lanternas.,Gira el cable hasta encender todos los faroles.
FL_SHORT,"Turn the wire,\nlight the garden.","Gire o fio,\nacenda o jardim.","Gira el cable,\nilumina el jardín."
FL_MOTTO,Wake every lantern,Acenda cada lanterna,Enciende cada farol
FL_LVL_0,5 × 5 garden,Jardim 5 × 5,Jardín de 5 × 5
FL_LVL_1,6 × 6 garden,Jardim 6 × 6,Jardín de 6 × 6
FL_LVL_2,7 × 7 garden,Jardim 7 × 7,Jardín de 7 × 7
FL_LVL_3,8 × 8 garden,Jardim 8 × 8,Jardín de 8 × 8
PP_BLURB,"Tap a plane whose lane to the edge is clear, and off it goes.","Toque num avião com o caminho livre até a borda, e lá vai ele.","Toca un avión con el camino libre hasta el borde, y allá va."
PP_SHORT,Send every plane\noff a clear lane.,Solte cada avião\npelo caminho livre.,Lanza cada avión\npor camino libre.
PP_MOTTO,A clear lane and away,"Caminho livre, e lá vai","Camino libre, y a volar"
PP_LVL_0,10 × 14 sky,Céu 10 × 14,Cielo de 10 × 14
PP_LVL_1,13 × 18 sky,Céu 13 × 18,Cielo de 13 × 18
PP_LVL_2,16 × 22 sky,Céu 16 × 22,Cielo de 16 × 22
PP_LVL_3,"16 × 22 sky, long planes","Céu 16 × 22, aviões longos","Cielo de 16 × 22, aviones largos"
PW_BLURB,Turn each pinned piece until the frame is full.,Gire cada peça presa até o quadro ficar cheio.,Gira cada pieza fija hasta llenar el marco.
PW_SHORT,Turn each piece\ntill the frame fills.,Gire as peças até\npreencher o quadro.,Gira las piezas\ny llena el marco.
PW_MOTTO,Turn it till it fits,Gire até encaixar,Gira hasta que encaje
PW_LVL_0,"9 pieces, 5 × 5","9 peças, 5 × 5","9 piezas, 5 × 5"
PW_LVL_1,"11 pieces, 5 × 7","11 peças, 5 × 7","11 piezas, 5 × 7"
PW_LVL_2,"13 pieces, 6 × 8","13 peças, 6 × 8","13 piezas, 6 × 8"
PW_LVL_3,"16 pieces, 7 × 8","16 peças, 7 × 8","16 piezas, 7 × 8"
RG_BLURB,Gather every colour onto a peg of its own.,Junte cada cor num pino só dela.,Reúne cada color en un poste propio.
RG_SHORT,"Sort the rings,\na colour a peg.","Separe os anéis,\numa cor por pino.","Ordena los aros,\nun color por poste."
RG_MOTTO,Every ring finds its peg,Cada anel acha seu pino,Cada aro halla su poste
RG_LVL_0,"4 colours, 6 pegs","4 cores, 6 pinos","4 colores, 6 postes"
RG_LVL_1,"5 colours, 7 pegs","5 cores, 7 pinos","5 colores, 7 postes"
RG_LVL_2,"6 colours, 8 pegs","6 cores, 8 pinos","6 colores, 8 postes"
RG_LVL_3,"Near the fewest moves, no hints","Quase o mínimo de jogadas, sem dicas","Casi el mínimo de jugadas, sin pistas"
RG_TIP_LIFT,Tap a peg to lift its top ring.,Toque num pino para erguer o anel de cima.,Toca un poste para levantar el aro de arriba.
RG_TIP_LANDS,"A ring lands on its own colour, or on an empty peg.",Um anel só pousa na própria cor ou num pino vazio.,Un aro solo cae sobre su color o en un poste vacío.
RG_TIP_LOCKS,"Four of a colour fills a peg, and it locks.","Quatro da mesma cor enchem um pino, e ele trava.","Cuatro del mismo color llenan un poste, y se bloquea."
RG_TIP_UNDO,Nothing is ever lost here. Undo is right above.,Aqui nada se perde. Desfazer está logo acima.,Aquí nada se pierde. Deshacer está justo arriba.
RG_STUCK,"Nothing can move. Undo, or start again.",Nada se move. Desfaça ou recomece.,Nada se puede mover. Deshaz o empieza de nuevo.
RG_OUT,"Out of moves. Undo, or start again.",Acabaram as jogadas. Desfaça ou recomece.,Sin jugadas. Deshaz o empieza de nuevo.
RG_HELD,"Drop it on its own colour, or on an empty peg.",Solte na mesma cor ou num pino vazio.,Suéltalo en su color o en un poste vacío.
RG_EMPTY_PEG,That peg is empty. Lift from a peg that has a ring.,Esse pino está vazio. Erga de um pino que tenha anel.,Ese poste está vacío. Levanta de un poste que tenga aro.
RG_HOME_PEG,That colour is home. Nothing comes off a finished peg.,Essa cor já está em casa. Nada sai de um pino completo.,Ese color ya está en casa. Nada sale de un poste completo.
RG_PUT_BACK,Back where it was.,De volta ao lugar.,De vuelta a su lugar.
